title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,sentiment,genres_list
Sharks (in 3D),movie,Documentary,2012.0,tt2632758,6.0,53.0,Neutral,['Documentary']
The Photographer of Mauthausen,movie,"Biography, Drama, History",2018.0,tt6704776,6.8,13277.0,Neutral,"['Biography', 'Drama', 'History']"
Major Grom: Plague Doctor,movie,"Action, Comedy, Crime",2021.0,tt7601480,6.3,14361.0,Neutral,"['Action', 'Comedy', 'Crime']"
Gun City,movie,"Action, Adventure, Crime",2018.0,tt7104984,6.3,4444.0,Neutral,"['Action', 'Adventure', 'Crime']"
Mirage,movie,"Drama, Fantasy, Mystery",2018.0,tt6908274,7.4,67962.0,High,"['Drama', 'Fantasy', 'Mystery']"
Coward Love,movie,"Drama, Romance",2018.0,tt5887630,5.7,372.0,Neutral,"['Drama', 'Romance']"
Black Is Beltza,movie,"Animation, Drama",2018.0,tt8512986,5.9,418.0,Neutral,"['Animation', 'Drama']"
Franco Escamilla: Por la anécdota,movie,Comedy,2018.0,tt8467922,7.0,407.0,High,['Comedy']
Boonie Bears: The Big Shrink,movie,Animation,2018.0,tt8028526,5.6,308.0,Neutral,['Animation']
The Way Back,movie,"Drama, Sport",2020.0,tt8544498,6.7,54720.0,Neutral,"['Drama', 'Sport']"
Hannah Gadsby: Nanette,movie,"Comedy, Documentary",2018.0,tt8465676,8.1,13856.0,High,"['Comedy', 'Documentary']"
The Witness,movie,"Crime, Mystery, Thriller",2018.0,tt8865562,6.5,2673.0,Neutral,"['Crime', 'Mystery', 'Thriller']"
Ek Jaan Hain Hum,movie,"Family, Romance",1983.0,tt0379272,5.5,122.0,Neutral,"['Family', 'Romance']"
Pachamama,movie,"Adventure, Animation, Family",2018.0,tt5541002,6.8,1042.0,Neutral,"['Adventure', 'Animation', 'Family']"
Sunset in My Hometown,movie,"Comedy, Drama, Music",2018.0,tt7095852,6.5,474.0,Neutral,"['Comedy', 'Drama', 'Music']"
What Is Love?,movie,"Drama, Romance",2018.0,tt9163346,6.5,655.0,Neutral,"['Drama', 'Romance']"
The Perfection,movie,"Drama, Horror, Thriller",2018.0,tt7772580,6.2,51554.0,Neutral,"['Drama', 'Horror', 'Thriller']"
Les intrus,movie,"Crime, Drama",1972.0,tt0164687,5.7,69.0,Neutral,"['Crime', 'Drama']"
Blue Kids,movie,"Drama, Thriller",2017.0,tt6066958,4.6,135.0,Low,"['Drama', 'Thriller']"
Lust Stories,movie,"Drama, Romance",2018.0,tt8439854,6.4,13646.0,Neutral,"['Drama', 'Romance']"
RK Nagar,movie,Comedy,2019.0,tt7748196,5.3,170.0,Low,['Comedy']
The Witch: Part 1 - The Subversion,movie,"Action, Mystery, Sci-Fi",2018.0,tt8574252,7.1,19976.0,High,"['Action', 'Mystery', 'Sci-Fi']"
Bad Hair,movie,"Comedy, Horror, Music",2020.0,tt4798836,5.6,4601.0,Neutral,"['Comedy', 'Horror', 'Music']"
Midsommar,movie,"Drama, Horror, Mystery",2019.0,tt8772262,7.1,446066.0,High,"['Drama', 'Horror', 'Mystery']"
Amma Cheppindi,movie,Drama,2006.0,tt0827695,7.1,209.0,High,['Drama']
1917,movie,"Action, Drama, War",2019.0,tt8579674,8.2,725251.0,High,"['Action', 'Drama', 'War']"
All Day and a Night,movie,Drama,2020.0,tt3993886,6.0,4546.0,Neutral,['Drama']
Spelling the Dream,movie,Documentary,2018.0,tt6193522,6.9,805.0,Neutral,['Documentary']
I Am Woman,movie,"Biography, Drama, Music",2019.0,tt9185316,6.6,3111.0,Neutral,"['Biography', 'Drama', 'Music']"
Rim of the World,movie,"Action, Adventure, Comedy",2019.0,tt8179388,5.3,26255.0,Low,"['Action', 'Adventure', 'Comedy']"
Brightburn,movie,"Drama, Horror, Mystery",2019.0,tt7752126,6.1,113112.0,Neutral,"['Drama', 'Horror', 'Mystery']"
Project Gutenberg,movie,"Action, Crime, Mystery",2018.0,tt7183578,6.8,5405.0,Neutral,"['Action', 'Crime', 'Mystery']"
Holiday in the Wild,movie,"Comedy, Drama, Romance",2019.0,tt8510488,6.2,18383.0,Neutral,"['Comedy', 'Drama', 'Romance']"
Eurovision Song Contest: The Story of Fire Saga,movie,"Comedy, Music",2020.0,tt8580274,6.5,106035.0,Neutral,"['Comedy', 'Music']"
Jerk à Istanbul,movie,"Adventure, Drama, Thriller",1967.0,tt0238330,4.3,116.0,Low,"['Adventure', 'Drama', 'Thriller']"
The Tax Collector,movie,"Action, Crime, Drama",2020.0,tt8461224,4.9,16317.0,Low,"['Action', 'Crime', 'Drama']"
Point Blank,movie,"Action, Crime, Drama",2019.0,tt2499472,5.7,16151.0,Neutral,"['Action', 'Crime', 'Drama']"
Otherhood,movie,Comedy,2019.0,tt4180560,6.1,13000.0,Neutral,['Comedy']
Ibiza,movie,Comedy,2019.0,tt7942936,5.1,2739.0,Low,['Comedy']
"To Each, Her Own",movie,"Comedy, Drama",2018.0,tt6290418,5.4,2006.0,Low,"['Comedy', 'Drama']"
The Outpost,movie,"Action, Drama, History",2019.0,tt3833480,6.8,45314.0,Neutral,"['Action', 'Drama', 'History']"
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,movie,"Action, Adventure, Animation",2019.0,tt9239552,7.8,6182.0,High,"['Action', 'Adventure', 'Animation']"
El-Badlah,movie,"Action, Comedy, Drama",2018.0,tt8805486,5.3,2302.0,Low,"['Action', 'Comedy', 'Drama']"
W. Kamau Bell: Private School Negro,movie,Comedy,2018.0,tt8467788,6.5,850.0,Neutral,['Comedy']
The Fable,movie,"Action, Comedy",2019.0,tt8676426,6.6,3126.0,Neutral,"['Action', 'Comedy']"
Jim Jefferies: This Is Me Now,movie,Comedy,2018.0,tt8617844,7.4,4563.0,High,['Comedy']
On Your Wedding Day,movie,"Comedy, Drama, Romance",2018.0,tt7938092,7.0,4074.0,High,"['Comedy', 'Drama', 'Romance']"
Walwal,movie,Drama,2018.0,tt8629308,6.5,128.0,Neutral,['Drama']
The Tokoloshe,movie,"Horror, Thriller",2018.0,tt8047262,4.5,215.0,Low,"['Horror', 'Thriller']"
The Prodigy,movie,"Fantasy, Horror, Mystery",2019.0,tt4504044,5.9,29973.0,Neutral,"['Fantasy', 'Horror', 'Mystery']"
Firestarter,movie,"Drama, Horror, Sci-Fi",2022.0,tt1798632,4.6,24503.0,Low,"['Drama', 'Horror', 'Sci-Fi']"
Dying to Survive,movie,"Comedy, Drama",2018.0,tt7362036,7.8,8551.0,High,"['Comedy', 'Drama']"
The Dig,movie,"Biography, Drama, History",2021.0,tt3661210,7.1,85855.0,High,"['Biography', 'Drama', 'History']"
Ready to Mingle,movie,Comedy,2019.0,tt6736198,5.9,2618.0,Neutral,['Comedy']
Fahrenheit 11/9,movie,Documentary,2018.0,tt8632862,7.2,21146.0,High,['Documentary']
The Shiny Shrimps,movie,"Comedy, Drama, Sport",2019.0,tt6918220,6.5,3159.0,Neutral,"['Comedy', 'Drama', 'Sport']"
Ek Ladki Ko Dekha Toh Aisa Laga,movie,"Crime, Drama",2019.0,tt8108164,5.6,4932.0,Neutral,"['Crime', 'Drama']"
Incognito,movie,"Crime, Drama",1958.0,tt0137021,5.3,90.0,Low,"['Crime', 'Drama']"
Les femmes d'abord,movie,"Action, Crime, Drama",1963.0,tt0055978,5.5,114.0,Neutral,"['Action', 'Crime', 'Drama']"
The Angel's Time,movie,"Romance, Drama",2018.0,,,0.0,Neutral,"['Romance', 'Drama']"
Farah,movie,Drama,2004.0,tt12848262,3.1,36.0,Low,['Drama']
Violet Evergarden: The Movie,movie,"Animation, Drama, Fantasy",2020.0,tt8652818,8.3,12176.0,High,"['Animation', 'Drama', 'Fantasy']"
Aurora,movie,"Horror, Thriller",2018.0,tt8821182,4.4,732.0,Low,"['Horror', 'Thriller']"
Child's Play,movie,"Drama, Horror, Sci-Fi",2019.0,tt8663516,5.7,58558.0,Neutral,"['Drama', 'Horror', 'Sci-Fi']"
Kaatteri,movie,"Adventure, Comedy, Horror",2022.0,tt7853250,4.3,512.0,Low,"['Adventure', 'Comedy', 'Horror']"
First Voyage,movie,"Adventure, Drama",1980.0,tt0237606,5.8,83.0,Neutral,"['Adventure', 'Drama']"
Le 4ème pouvoir,movie,Drama,1985.0,tt0089867,6.1,263.0,Neutral,['Drama']
Judgment Day,movie,"Comedy, Drama",2013.0,tt2956522,5.7,47.0,Neutral,"['Comedy', 'Drama']"
Saxo,movie,"Drama, Music",1988.0,tt0093920,5.1,55.0,Low,"['Drama', 'Music']"
Trois années,movie,"Comedy, Drama",1990.0,tt0098514,5.7,102.0,Neutral,"['Comedy', 'Drama']"
Pat a Mat znovu v akci,movie,"Animation, Family",2018.0,tt9574822,6.9,53.0,Neutral,"['Animation', 'Family']"
Up Among the Stars,movie,Drama,2018.0,tt6984530,6.3,567.0,Neutral,['Drama']
Get Her... If You Can,movie,"Comedy, Romance",2019.0,tt7398584,5.5,763.0,Neutral,"['Comedy', 'Romance']"
When Angels Sleep,movie,"Adventure, Drama, Horror",2018.0,tt3732280,5.5,4231.0,Neutral,"['Adventure', 'Drama', 'Horror']"
Vicious,movie,"Drama, Horror, Mystery",2019.0,tt7330392,4.9,1083.0,Low,"['Drama', 'Horror', 'Mystery']"
Great White,movie,"Horror, Thriller",2021.0,tt8435002,4.2,9333.0,Low,"['Horror', 'Thriller']"
Blinded by the Light,movie,"Comedy, Drama, Music",2019.0,tt8266310,6.9,27948.0,Neutral,"['Comedy', 'Drama', 'Music']"
L'annonce faite à Marius,movie,Comedy,1998.0,tt0184216,5.0,47.0,Low,['Comedy']
Sooner or Later,movie,Romance,1999.0,tt0217860,5.3,55.0,Low,['Romance']
Koki-Koki Cilik,movie,"Comedy, Drama, Family",2018.0,tt8517236,7.2,69.0,High,"['Comedy', 'Drama', 'Family']"
The Silent Invasion,movie,"Drama, War",1962.0,tt0056489,4.5,70.0,Low,"['Drama', 'War']"
Khalti Faransa,movie,Comedy,2004.0,tt0416889,4.2,864.0,Low,['Comedy']
Your Son,movie,Drama,2018.0,tt7807026,6.1,5932.0,Neutral,['Drama']
Petta,movie,"Action, Drama",2019.0,tt8959820,7.2,12825.0,High,"['Action', 'Drama']"
Aruna & Her Palate,movie,"Drama, Romance",2018.0,tt8894180,7.1,962.0,High,"['Drama', 'Romance']"
The Goldfish,movie,Comedy,2019.0,tt7689310,6.6,2839.0,Neutral,['Comedy']
O Banquete,movie,"Drama, Thriller",2018.0,tt8660600,6.0,269.0,Neutral,"['Drama', 'Thriller']"
The Wandering Earth,movie,"Action, Adventure, Sci-Fi",2019.0,tt7605074,5.9,37926.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
